Unnamed: 0,image_id,min_response,max_response,mean_response,std_response,number of raters,image_filename,artist,title,genre,style,4_styles,2_styles,mean_response_bin,mean_response_scaled
0,4926,0,87,41.55172413793103,26.43804916,29,boris-kustodiev_shells-1918.jpg,boris-kustodiev,shells-1918.jpg,still life,Realism,Representational/ Figurative art,FIGURATIVE,2,4.155172413793103
1,40356,0,100,33.44444444444444,25.14470938898301,27,genevieve-asse_sans-titre-viii-1984.jpg,genevieve-asse,sans-titre-viii-1984.jpg,abstract,Minimalism,"Non-representational, abstract - geometric",ABSTRACT,2,3.344444444444444
2,39762,0,76,27.807692307692307,21.2640903511422,26,friedel-dzubas_rush.jpg,friedel-dzubas,rush.jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,1,2.7807692307692307
3,39825,27,100,74.66666666666667,19.843505382929525,18,fyodor-bronnikov_view-of-lake-como-1897.jpg,fyodor-bronnikov,view-of-lake-como-1897.jpg,cityscape,Romanticism,Representational/ Figurative art,FIGURATIVE,5,7.466666666666667
4,57309,25,92,61.11538461538461,17.205410598011134,26,patrick-procktor_leaping-cataract-victoria-falls-1974.jpg,patrick-procktor,leaping-cataract-victoria-falls-1974.jpg,landscape,Pop_Art,Representational/ Figurative art,FIGURATIVE,4,6.111538461538461
5,46044,0,98,65.35714285714286,20.43637694518044,28,jamie-wyeth_island-church-1969.jpg,jamie-wyeth,island-church-1969.jpg,landscape,Contemporary_Realism,Representational/ Figurative art,FIGURATIVE,4,6.5357142857142865
6,2598,0,85,34.46153846153846,21.341472806216107,26,ron-gorchov_chase-street-lounge-2011.jpg,ron-gorchov,chase-street-lounge-2011.jpg,abstract,Color_Field_Painting,"Non-representational, abstract - lyrical",ABSTRACT,2,3.446153846153846
7,49056,7,90,44.30434782608695,21.75991891405492,23,joshua-reynolds_scyacust-ukah(1).jpg,joshua-reynolds,scyacust-ukah(1).jpg,portrait,Rococo,Representational/ Figurative art,FIGURATIVE,3,4.430434782608695
8,864,0,100,63.0,27.72333553765372,25,mostafa-dashti_untitled-2008(1).jpg,mostafa-dashti,untitled-2008(1).jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,4,6.3
9,36480,12,100,61.77777777777778,23.26460466170357,18,dosso-dossi_portrait-of-a-youth-probably-lucrezia-borgia-1516.jpg,dosso-dossi,portrait-of-a-youth-probably-lucrezia-borgia-1516.jpg,portrait,High_Renaissance,Representational/ Figurative art,FIGURATIVE,4,6.177777777777778
10,32793,10,99,46.80952380952381,28.445771298418062,21,aubrey-beardsley_by-edgar-allan-poe.jpg,aubrey-beardsley,by-edgar-allan-poe.jpg,portrait,Art_Nouveau_Modern,Representational/ Figurative art,FIGURATIVE,3,4.680952380952381
11,39795,0,83,40.142857142857146,23.167209083520977,28,friedel-dzubas_untitled-1981.jpg,friedel-dzubas,untitled-1981.jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,2,4.014285714285714
12,47076,0,100,27.923076923076923,26.528359281226688,26,jean-paul-riopelle_lithographie-1976.jpg,jean-paul-riopelle,lithographie-1976.jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,1,2.792307692307692
13,53457,0,89,29.26315789473684,26.229419668386694,19,maurice-de-vlaminck_portrait-of-a-woman.jpg,maurice-de-vlaminck,portrait-of-a-woman.jpg,portrait,Fauvism,Representational abstract art - Identifiable,FIGURATIVE,1,2.926315789473684
14,32649,0,100,59.57142857142857,31.920199868795702,35,artemisia-gentileschi_sleeping-venus-1630.jpg,artemisia-gentileschi,sleeping-venus-1630.jpg,nude painting,Baroque,Representational/ Figurative art,FIGURATIVE,4,5.957142857142857
15,42408,1,84,47.43478260869565,25.475168100001227,23,hans-holbein-the-younger_portrait-of-philipp-melanchthon.jpg,hans-holbein-the-younger,portrait-of-philipp-melanchthon.jpg,portrait,Northern_Renaissance,Representational/ Figurative art,FIGURATIVE,3,4.743478260869565
16,53991,11,100,50.54545454545455,28.65679886540228,22,michel-simonidy_tulipes-1923.jpg,michel-simonidy,tulipes-1923.jpg,still life,Art_Nouveau_Modern,Representational/ Figurative art,FIGURATIVE,3,5.054545454545455
17,31281,3,81,37.96,23.65635926,25,amedeo-modigliani_portrait-of-dr-paul-alexandre-1909.jpg,amedeo-modigliani,portrait-of-dr-paul-alexandre-1909.jpg,portrait,Expressionism,Representational abstract art - Identifiable,FIGURATIVE,2,3.7960000000000003
18,49170,9,70,42.333333333333336,20.964956755612587,18,juan-gris_fruit-dish-glass-and-newspaper-1916.jpg,juan-gris,fruit-dish-glass-and-newspaper-1916.jpg,still life,Synthetic_Cubism,Representational abstract art - Identifiable,FIGURATIVE,2,4.233333333333333
19,42942,0,94,30.869565217391305,31.63902128676217,23,helen-frankenthaler_untitled-1978.jpg,helen-frankenthaler,untitled-1978.jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,1,3.0869565217391304
20,3156,8,87,61.21428571428572,22.483503652854832,28,childe-hassam_moonrise-at-sunset-1.jpg,childe-hassam,moonrise-at-sunset-1.jpg,nude painting,Impressionism,Representational abstract art - Identifiable,FIGURATIVE,4,6.121428571428572
21,49209,0,89,50.875,23.465631667722423,24,juan-gris_guitar-on-a-chair-1913.jpg,juan-gris,guitar-on-a-chair-1913.jpg,still life,Synthetic_Cubism,Representational abstract art - Identifiable,FIGURATIVE,3,5.0875
22,2751,0,100,46.2962963,26.27050820101509,27,marsden-hartley_e-1915.jpg,marsden-hartley,e-1915.jpg,flower painting,Cubism,Representational abstract art - Identifiable,FIGURATIVE,3,4.62962963
23,1917,0,90,38.45454545454545,24.617304409642365,110,andre-pierre-arnal_pliage-folded-painting-1971-1.jpg,andre-pierre-arnal,pliage-folded-painting-1971-1.jpg,abstract,Color_Field_Painting,"Non-representational, abstract - lyrical",ABSTRACT,2,3.8454545454545452
24,45165,18,100,70.04166666666667,20.228002903135923,24,ivan-aivazovsky_view-of-constantinople-1851.jpg,ivan-aivazovsky,view-of-constantinople-1851.jpg,cityscape,Romanticism,Representational/ Figurative art,FIGURATIVE,5,7.004166666666667
25,33813,17,100,73.07142857142857,18.497104020436748,28,boris-kustodiev_bridge-astrakhan-1918.jpg,boris-kustodiev,bridge-astrakhan-1918.jpg,cityscape,Realism,Representational/ Figurative art,FIGURATIVE,5,7.307142857142857
26,47628,0,80,38.73913043478261,23.86937442777088,23,joan-mitchell_tilleul-1978.jpg,joan-mitchell,tilleul-1978.jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,2,3.873913043478261
27,43629,5,100,57.36842105263158,24.873481028588103,19,henri-martin_valley-in-labastide-du-vert.jpg,henri-martin,valley-in-labastide-du-vert.jpg,landscape,Pointillism,Representational abstract art - Identifiable,FIGURATIVE,4,5.736842105263158
28,57264,0,83,24.642857142857142,24.96102782444886,28,patrick-heron_untitled-from-the-shapes-of-colour-1978(1).jpg,patrick-heron,untitled-from-the-shapes-of-colour-1978(1).jpg,abstract,Color_Field_Painting,"Non-representational, abstract - lyrical",ABSTRACT,1,2.4642857142857144
29,43425,5,100,71.14285714285714,23.75139093671298,21,henri-fantin-latour_roses-in-a-white-porcelin-vase-1874.jpg,henri-fantin-latour,roses-in-a-white-porcelin-vase-1874.jpg,flower painting,Realism,Representational/ Figurative art,FIGURATIVE,5,7.114285714285714
30,32283,11,100,67.13636363636364,20.114660501722792,22,anthony-van-dyck_charles-i-on-horseback.jpg,anthony-van-dyck,charles-i-on-horseback.jpg,portrait,Baroque,Representational/ Figurative art,FIGURATIVE,5,6.713636363636364
31,186,0,90,27.52173913043478,25.59273612360527,23,cy-twombly_untitled-7.jpg,cy-twombly,untitled-7.jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,1,2.752173913043478
32,54198,0,71,24.82608695652174,22.461385397879955,23,milton-resnick_hawkeye-ii-1971.jpg,milton-resnick,hawkeye-ii-1971.jpg,abstract,Abstract_Expressionism,"Non-representational, abstract - lyrical",ABSTRACT,1,2.482608695652174
33,41544,0,82,32.27586206896552,27.16601941465548,29,giuseppe-arcimboldo_the-dinner(1).jpg,giuseppe-arcimboldo,the-dinner(1).jpg,still life,Mannerism_Late_Renaissance,Representational/ Figurative art,FIGURATIVE,1,3.2275862068965524
34,58296,3,100,45.388888888888886,25.750245890062736,18,pedro-calapez_folder-01-2009.jpg,pedro-calapez,folder-01-2009.jpg,abstract,Color_Field_Painting,"Non-representational, abstract - lyrical",ABSTRACT,3,4.538888888888889
35,31581,0,96,48.888888888888886,21.79155329185588,27,andrea-del-sarto_domenico-di-jacopo-di-matteo-called-becuccio-bicchieraio.jpg,andrea-del-sarto,domenico-di-jacopo-di-matteo-called-becuccio-bicchieraio.jpg,portrait,High_Renaissance,Representational/ Figurative art,FIGURATIVE,3,4.888888888888888
